source_file,source_module,line,import_type,imported_module,imported_name,alias,level,resolved_file,resolution_status
core/dimension_type_helpers.py,core.dimension_type_helpers,30,import,os,,,0,,unresolved_external_or_missing
core/dimension_type_helpers.py,core.dimension_type_helpers,31,import,sys,,,0,,unresolved_external_or_missing
core/dimension_type_helpers.py,core.dimension_type_helpers,38,from_import,core.hashing,make_hash,,0,core/hashing.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,38,from_import,core.hashing,safe_str,,0,core/hashing.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,39,from_import,core.canon,S_MISSING,,0,core/canon.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,39,from_import,core.canon,S_NOT_APPLICABLE,,0,core/canon.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,39,from_import,core.canon,S_UNREADABLE,,0,core/canon.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,39,from_import,core.canon,canon_str,,0,core/canon.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,_as_double,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,_as_int,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,_as_string,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,_as_value_string,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,_canon_rgb,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,first_param,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,format_len_inches,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,get_element_display_name,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,40,from_import,core.rows,try_get_color_rgb_from_elem,,0,core/rows.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,ITEM_Q_MISSING,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,ITEM_Q_OK,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,ITEM_Q_UNREADABLE,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,ITEM_Q_UNSUPPORTED_NOT_APPLICABLE,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,canonicalize_bool,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,canonicalize_enum,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,canonicalize_float,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,canonicalize_int,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,canonicalize_str,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,canonicalize_str_allow_empty,,0,core/record_v2.py,resolved
core/dimension_type_helpers.py,core.dimension_type_helpers,51,from_import,core.record_v2,make_identity_item,,0,core/record_v2.py,resolved
core/features.py,core.features,14,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/features.py,core.features,16,from_import,typing,Any,,0,,unresolved_external_or_missing
core/features.py,core.features,16,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/features.py,core.features,16,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/features.py,core.features,16,from_import,typing,Tuple,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,22,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,24,from_import,typing,Any,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,24,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,24,from_import,typing,List,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,24,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,24,from_import,typing,Sequence,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,24,from_import,typing,Tuple,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,25,import,importlib.util,,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,ITEM_Q_MISSING,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,ITEM_Q_OK,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,ITEM_Q_UNREADABLE,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,ITEM_Q_UNSUPPORTED,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,canonicalize_bool,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,canonicalize_int,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,canonicalize_str,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,27,from_import,core.record_v2,make_identity_item,,0,core/record_v2.py,resolved
core/graphic_overrides.py,core.graphic_overrides,37,from_import,core.canon,canon_str,,0,core/canon.py,resolved
core/graphic_overrides.py,core.graphic_overrides,40,import,sys,,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,41,import,importlib.util,,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,55,from_import,Autodesk.Revit.DB,Category,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,55,from_import,Autodesk.Revit.DB,GraphicsStyleType,,0,,unresolved_external_or_missing
core/graphic_overrides.py,core.graphic_overrides,55,from_import,Autodesk.Revit.DB,OverrideGraphicSettings,,0,,unresolved_external_or_missing
core/hashing.py,core.hashing,66,from_import,System.Text,Encoding,,0,,unresolved_external_or_missing
core/hashing.py,core.hashing,67,from_import,System.Security.Cryptography,MD5,,0,,unresolved_external_or_missing
core/hashing.py,core.hashing,96,import,hashlib,,,0,,unresolved_external_or_missing
core/join_key_builder.py,core.join_key_builder,47,import,re,,,0,,unresolved_external_or_missing
core/join_key_builder.py,core.join_key_builder,49,from_import,core.record_v2,ITEM_Q_MISSING,,0,core/record_v2.py,resolved
core/join_key_builder.py,core.join_key_builder,49,from_import,core.record_v2,ITEM_Q_OK,,0,core/record_v2.py,resolved
core/join_key_builder.py,core.join_key_builder,50,from_import,core.phase2,phase2_join_hash,,0,core/phase2.py,resolved
core/join_key_policy.py,core.join_key_policy,31,import,json,,,0,,unresolved_external_or_missing
core/manifest.py,core.manifest,14,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/manifest.py,core.manifest,16,from_import,typing,Any,,0,,unresolved_external_or_missing
core/manifest.py,core.manifest,16,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/manifest.py,core.manifest,16,from_import,typing,Optional,,0,,unresolved_external_or_missing
