member,domain_count,domain,key_kind,key,example_display,run_count
OwnerViewId,16,roof_types,reflection,refl.RoofType.OwnerViewId,-1,1
OwnerViewId,16,text_types,reflection,refl.TextNoteType.OwnerViewId,-1,1
OwnerViewId,16,view_filter_definitions,reflection,refl.ParameterFilterElement.OwnerViewId,-1,1
OwnerViewId,16,wall_types,reflection,refl.WallType.OwnerViewId,-1,1
Coarse Scale Fill Pattern,4,ceiling_types,param,p.Coarse Scale Fill Pattern,,1
Coarse Scale Fill Pattern,4,floor_types,param,p.Coarse Scale Fill Pattern,,1
Coarse Scale Fill Pattern,4,roof_types,param,p.Coarse Scale Fill Pattern,,1
Coarse Scale Fill Pattern,4,wall_types,param,p.Coarse Scale Fill Pattern,<Solid fill>,1
DeckProfileId,4,ceiling_types,reflection,refl.CompoundStructureLayer.DeckProfileId,-1,1
DeckProfileId,4,floor_types,reflection,refl.CompoundStructureLayer.DeckProfileId,-1,1
DeckProfileId,4,roof_types,reflection,refl.CompoundStructureLayer.DeckProfileId,-1,1
DeckProfileId,4,wall_types,reflection,refl.CompoundStructureLayer.DeckProfileId,-1,1
Type Image,4,ceiling_types,param,p.Type Image,,1
Type Image,4,floor_types,param,p.Type Image,,1
Type Image,4,roof_types,param,p.Type Image,,1
Type Image,4,wall_types,param,p.Type Image,,1
AnalysisDisplayStyleId,3,phase_graphics,reflection,refl.View.AnalysisDisplayStyleId,-1,1
AnalysisDisplayStyleId,3,view_templates,reflection,refl.View.AnalysisDisplayStyleId,-1,1
AnalysisDisplayStyleId,3,views,reflection,refl.View.AnalysisDisplayStyleId,-1,1
AssociatedAssemblyInstanceId,3,phase_graphics,reflection,refl.View.AssociatedAssemblyInstanceId,-1,1
AssociatedAssemblyInstanceId,3,view_templates,reflection,refl.View.AssociatedAssemblyInstanceId,-1,1
AssociatedAssemblyInstanceId,3,views,reflection,refl.View.AssociatedAssemblyInstanceId,-1,1
CutBackgroundPatternId,3,materials,reflection,refl.Material.CutBackgroundPatternId,-1,1
CutBackgroundPatternId,3,view_category_overrides,reflection,refl.OverrideGraphicSettings.CutBackgroundPatternId,-1,1
CutBackgroundPatternId,3,view_filter_applications,reflection,refl.OverrideGraphicSettings.CutBackgroundPatternId,-1,1
CutForegroundPatternId,3,materials,reflection,refl.Material.CutForegroundPatternId,-1,1
CutForegroundPatternId,3,view_category_overrides,reflection,refl.OverrideGraphicSettings.CutForegroundPatternId,-1,1
CutForegroundPatternId,3,view_filter_applications,reflection,refl.OverrideGraphicSettings.CutForegroundPatternId,-1,1
GetTemporaryViewPropertiesId,3,phase_graphics,reflection,refl.View.GetTemporaryViewPropertiesId,-1,1
GetTemporaryViewPropertiesId,3,view_templates,reflection,refl.View.GetTemporaryViewPropertiesId,-1,1
GetTemporaryViewPropertiesId,3,views,reflection,refl.View.GetTemporaryViewPropertiesId,-1,1
SurfaceBackgroundPatternId,3,materials,reflection,refl.Material.SurfaceBackgroundPatternId,-1,1
SurfaceBackgroundPatternId,3,view_category_overrides,reflection,refl.OverrideGraphicSettings.SurfaceBackgroundPatternId,-1,1
SurfaceBackgroundPatternId,3,view_filter_applications,reflection,refl.OverrideGraphicSettings.SurfaceBackgroundPatternId,-1,1
SurfaceForegroundPatternId,3,materials,reflection,refl.Material.SurfaceForegroundPatternId,-1,1
SurfaceForegroundPatternId,3,view_category_overrides,reflection,refl.OverrideGraphicSettings.SurfaceForegroundPatternId,-1,1
SurfaceForegroundPatternId,3,view_filter_applications,reflection,refl.OverrideGraphicSettings.SurfaceForegroundPatternId,-1,1
TargetId,3,phase_graphics,reflection,refl.View.TargetId,-1,1
TargetId,3,view_templates,reflection,refl.View.TargetId,-1,1
TargetId,3,views,reflection,refl.View.TargetId,-1,1
BodyTextTypeId,2,phase_graphics,reflection,refl.View.BodyTextTypeId,2622,1
BodyTextTypeId,2,view_templates,reflection,refl.View.BodyTextTypeId,2622,1
Border 1 Type,2,roof_types,param,p.Border 1 Type,,1
Border 1 Type,2,wall_types,param,p.Border 1 Type,,1
Border 2 Type,2,roof_types,param,p.Border 2 Type,,1
Border 2 Type,2,wall_types,param,p.Border 2 Type,,1
Curtain Panel,2,roof_types,param,p.Curtain Panel,,1
Curtain Panel,2,wall_types,param,p.Curtain Panel,,1
CutLinePatternId,2,view_category_overrides,reflection,refl.OverrideGraphicSettings.CutLinePatternId,-1,1
CutLinePatternId,2,view_filter_applications,param,vfa.ogs.cut_line_pattern_id,,1
CutLinePatternId,2,view_filter_applications,reflection,refl.OverrideGraphicSettings.CutLinePatternId,-1,1
Default Analysis Display Style,2,phase_graphics,param,p.Default Analysis Display Style,,1
Default Analysis Display Style,2,views,param,param.Default Analysis Display Style,,1
Guide Grid,2,phase_graphics,param,p.Guide Grid,,1
Guide Grid,2,views,param,param.Guide Grid,,1
HeaderTextTypeId,2,phase_graphics,reflection,refl.View.HeaderTextTypeId,4279,1
HeaderTextTypeId,2,view_templates,reflection,refl.View.HeaderTextTypeId,4279,1
Interior Type,2,roof_types,param,p.Interior Type,,1
Interior Type,2,wall_types,param,p.Interior Type,,1
Leader Arrowhead,2,dimension_types,param,p.Leader Arrowhead,Dot Filled-Small,1
Leader Arrowhead,2,text_types,param,p.Leader Arrowhead,22 Degree Filled Arrow-Medium,1
None,2,phase_graphics,param,p.None,,1
None,2,views,param,param.None,SEA LEVEL,1
Phase Filter,2,view_templates,param,p.Phase Filter,Show Previous + New,1
Phase Filter,2,views,param,param.Phase Filter,Show All,1
ProjectionLinePatternId,2,view_category_overrides,reflection,refl.OverrideGraphicSettings.ProjectionLinePatternId,-1,1
ProjectionLinePatternId,2,view_filter_applications,reflection,refl.OverrideGraphicSettings.ProjectionLinePatternId,-1,1
Range: Base Level,2,phase_graphics,param,p.Range: Base Level,,1
Range: Base Level,2,views,param,param.Range: Base Level,,1
Range: Top Level,2,phase_graphics,param,p.Range: Top Level,,1
Range: Top Level,2,views,param,param.Range: Top Level,,1
Referencing Sheet Collection,2,phase_graphics,param,p.Referencing Sheet Collection,,1
Referencing Sheet Collection,2,views,param,param.Referencing Sheet Collection,,1
Scope Box,2,phase_graphics,param,p.Scope Box,,1
Scope Box,2,views,param,param.Scope Box,,1
Sheet Collection,2,phase_graphics,param,p.Sheet Collection,,1
Sheet Collection,2,views,param,param.Sheet Collection,,1
SheetCollectionId,2,phase_graphics,reflection,refl.View.SheetCollectionId,-1,1
SheetCollectionId,2,views,reflection,refl.View.SheetCollectionId,-1,1
TitleTextTypeId,2,phase_graphics,reflection,refl.View.TitleTextTypeId,2628,1
TitleTextTypeId,2,view_templates,reflection,refl.View.TitleTextTypeId,2628,1
WorksetId,2,browser_organization,reflection,refl.BrowserOrganization.WorksetId,54,1
WorksetId,2,fill_patterns,reflection,refl.FillPatternElement.WorksetId,7,1
Associated Datum,1,views,param,param.Associated Datum,,1
Centerline Pattern,1,dimension_types,param,p.Centerline Pattern,-3000010,1
Centerline Symbol,1,dimension_types,param,p.Centerline Symbol,ANG-Centerline,1
Centerline Tick Mark,1,dimension_types,param,p.Centerline Tick Mark,-2,1
cut_bg_pattern_id,1,view_filter_applications,param,vfa.ogs.cut_bg_pattern_id,,1
cut_fg_pattern_id,1,view_filter_applications,param,vfa.ogs.cut_fg_pattern_id,,1
cut_line_pattern,1,view_category_overrides,param,eff.cut_line_pattern,,1
ElementId,1,browser_organization,reflection,refl.FolderItemInfo.ElementId,-1012106,1
GetPrimaryViewId,1,phase_graphics,reflection,refl.View.GetPrimaryViewId,-1,1
Image,1,materials,param,p.Image,,1
Interior Tick Mark,1,dimension_types,param,p.Interior Tick Mark,Diagonal-Medium,1
Leader Tick Mark,1,dimension_types,param,p.Leader Tick Mark,,1
line_pattern_cut,1,object_styles,param,c.line_pattern_cut,,1
line_pattern_projection,1,object_styles,param,c.line_pattern_projection,,1
Phase,1,views,param,param.Phase,New Construction,1
proj_line_pattern_id,1,view_filter_applications,param,vfa.ogs.proj_line_pattern_id,,1
projection_line_pattern,1,view_category_overrides,param,eff.projection_line_pattern,,1
SortingParameterId,1,browser_organization,reflection,refl.BrowserOrganization.SortingParameterId,-1005112,1
StructuralMaterialId,1,floor_types,reflection,refl.FloorType.StructuralMaterialId,-1,1
surf_bg_pattern_id,1,view_filter_applications,param,vfa.ogs.surf_bg_pattern_id,,1
surf_fg_pattern_id,1,view_filter_applications,param,vfa.ogs.surf_fg_pattern_id,,1
Symbol,1,dimension_types,param,p.Symbol,Sym - Spot Coordinate - 0000,1
Tick Mark,1,dimension_types,param,p.Tick Mark,22 Degree Filled Arrow-Medium,1
Witness Line Tick Mark,1,dimension_types,param,p.Witness Line Tick Mark,,1
